poi_id,poi_name,poi_description,suggested_tags
19,"Lasalle College of the Arts","How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.","Architecture,Art,Culture,Modern,Nature"
20,"Kranji War Memorial Landmark in Singapore","The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.","Memorial,History,Heritage"
21,"Indian National Army (INA) Monument in Singapore","This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.","Memorial,History,Heritage,Park"
22,"Reflections at Bukit Chandu: Singapore War Memorial","This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.","History,Heritage,Memorial,Museum"
23,"The Cenotaph - a Singapore War Memorial Landmark","This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.","Memorial,History,Heritage,Park,Culture"
24,"The Civilian War Memorial park in Singapore","Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.","Park,History,Heritage,Memorial"
25,"Sri Veeramakaliamman Temple: Hindu Temple in Singapore","Sri Veeramakaliamman Temple is one of Singaporeâ€™s oldest Hindu temples, in the heart of Little India.","Temple,History,Culture,Heritage,Traditional"
26,"Maghain Aboth Synagogue","The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.","History,Culture,Heritage,Architecture,Temple"
27,"Old Supreme Court Singapore","From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.","History,Culture,Heritage,Architecture,Gallery"
28,"SIT Flats Singapore","Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.","History,Culture,Heritage,Architecture,Art"
29,"Lau Pa Sat Singapore","The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.","History,Heritage,Architecture,Food,Culture"
30,"Malay Heritage Centre, Singapore","The Malay Heritage Centre is a must-visit if youâ€™re keen on learning about the rich heritage and culture of Singaporeâ€™s Malay community.","History,Culture,Heritage,Museum,Traditional"
31,"Peranakan Museum Singapore: History & Culture","Get to know Singaporeâ€™s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.","Museum,History,Culture,Heritage,Art"
32,"Raffles Singapore","Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.","History,Culture,Heritage,Architecture,Traditional"
33,"Gillman Barracks â€“ YourSingapore","A former British military camp is now Asia's new Destination for Contemporary Art.","History,Art,Gallery,Heritage,Modern"
34,"ArtScience Museum Singapore","Catch world-class touring exhibitions at this premier exhibition space.","Museum,Art,Architecture,Modern,Waterfront"
35,"SAM at 8Q & Singapore Art Museum","An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.","Museum,Art,Gallery,Culture,Modern"
36,"Jamae Mosque (Masjid Chulia) Singapore","Also known as Masjid Chulia, Jamae Mosque is one of Singaporeâ€™s oldest mosques and a prominent landmark in Chinatown since the 1820s.","Mosque,History,Heritage,Culture,Architecture"
37,"Institute of Contemporary Arts Singapore","This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.","Art,Gallery,Culture,Modern"
38,"Singapore Flyer","This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.","Entertainment,Viewpoint,Modern,Architecture,Waterfront"
39,"Marina Bay SandsÂ®","No description available","Architecture,Shopping,Entertainment,Viewpoint,Waterfront"
40,"Marina Barrage","This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.","Modern,Architecture,Waterfront,Entertainment,Viewpoint"
41,"Henderson Waves Bridge","Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.","Architecture,Nature,Viewpoint,Modern"
42,"Pinnacle@Duxton","The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.","Architecture,Modern,Viewpoint"
43,"Hajjah Fatimah Mosque","The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.","Mosque,Architecture,Culture,Heritage,Traditional"
44,"Haw Par Villa: Singapore Theme Park","Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.","Park,Culture,Heritage,Entertainment,Traditional"
45,"NUS Baba House - Singapore Peranakan Architecture","This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.","History,Culture,Heritage,Architecture,Museum"
46,"Hong San See Temple Singapore","Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.","Temple,Culture,Heritage,Architecture,Traditional"
47,"Chinese Heritage Centre, Singapore","The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.","History,Culture,Heritage,Museum,Traditional"
48,"Kampong Glam & Malay Culture in Singapore","Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.","Culture,History,Heritage,Food,Shopping"
49,"Contemporary Arts Center","This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.","Art,Gallery,Culture,Modern"
50,"The Substation, Singapore Contemporary Art Centre","This experimental arts centre gives a space for contemporary artists to try out new concepts.","Art,Culture,Modern,Gallery"
51,"Red Dot Design Museum, Singapore","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.","Museum,Art,Gallery,Culture,Modern"
52,"Singapore Art Museum","Singapore Art Museum is Singaporeâ€™s contemporary art museum, focused on Southeast Asian contemporary art.","Museum,Art,Culture,Modern,Gallery"
53,"Esplanade Theatres on the Bay","Catch a non-stop line-up of world-class performances at Singaporeâ€™s premier arts centre.","Culture,Art,Entertainment,Architecture,Waterfront"
54,"National Design Centre, Singapore","The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.","Art,Gallery,Culture,Modern"
55,"Victoria Theatre Singapore","After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.","History,Culture,Heritage,Architecture,Entertainment"
56,"NUS University Museum, Singapore","Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.","Museum,Art,Culture,History,Heritage"
57,"Sun Yat Sen Memorial Hall","This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.","Museum,History,Memorial,Heritage,Culture"
58,"Asian Civilisations Museum & Singapore Museum","Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.","Museum,History,Culture,Heritage,Waterfront"
59,"National Museum of Singapore","Singaporeâ€™s oldest museum is a progressive showcase of the countryâ€™s history and culture.","Museum,History,Culture,Heritage"
60,"The Japanese Cemetery Park","Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singaporeâ€™s early Japanese community.","Park,History,Culture,Heritage,Memorial"
61,"Dalhousie Obelisk, a Singapore Landmark","Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.","Architecture,History,Heritage,Memorial"
62,"Raffles Statue â€“ Sir Stamford Raffles Landing Site","The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.","History,Heritage,Memorial,Art,Waterfront"
63,"Singapore Philatelic Museum","The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.","Museum,History,Culture,Heritage"
64,"Old Ford Factory Singapore Museum","The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.","Museum,History,Heritage,Culture,Memorial"
65,"Singapore Coins and Notes Museum & Museum Singapore","The rare collection of currencies on display here tells Singaporeâ€™s story through the money it has used over the years.","Museum,History,Culture,Heritage"
66,"Singapore City Gallery","The Singapore City Gallery tells the story of the cityâ€™s physical transformation.","Gallery,History,Architecture,Museum,Modern"
67,"Changi Museum Singapore","Changi Museum provides an emotional exploration of Singaporeâ€™s wartime history during the Japanese Occupation.","Museum,History,Heritage,Memorial,Culture"
68,"MINT Museum of Toys Singapore & Toy Museum","This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.","Museum,History,Culture,Entertainment"
69,"Lim Bo Seng Memorial","This gazetted national monument at Esplanade Park commemorates one of Singaporeâ€™s heroes from World War II.","Memorial,History,Heritage,Park"
70,"Universal Studios Singaporeâ„¢ Theme Park","Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosaâ„¢.","Park,Entertainment"
71,"Singapore Science Centre","This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.","Museum"
72,"Fuk Tak Chi Museum & Places of Interest","Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.","Museum,Temple,History,Heritage,Architecture"
73,"Katong Antique House Singapore: Peranakan Heritage","Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.","Heritage,Culture,History,Architecture,Museum"
74,"Chinese Garden Singapore","A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.","Park,Culture,Heritage,Traditional,Nature"
75,"East Coast Park Singapore","With so many attractions packed into this 15-km stretch of beaches, youâ€™ll never run out of things to do.","Park,Nature,Waterfront,Entertainment"
76,"Fort Canning Park","Whether youâ€™re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.","Park,History,Heritage,Nature,Viewpoint"
77,"Kusu Island, Singapore","If youâ€™re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.","Heritage,Nature,Culture,History,Traditional"
78,"Jurong Bird Park, Singapore: Attractions & Things to Do","Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.","Park,Nature,Entertainment"
79,"HortPark","Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.","Park,Nature"
80,"Adventure Cove Waterparkâ„¢ Singapore","Make a big splash at this aquatic adventure park at Resorts Worldâ„¢ Sentosa.","Park,Entertainment"
81,"Lasalle College of the Arts","How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.","Architecture,Art,Culture,Modern,Nature"
82,"Singapore River: History & Culture Tours","Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.","History,Culture,Heritage,Waterfront"
83,"Joo Chiat/Katong: Singapore Peranakan Neighbourhood","Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.","History,Culture,Heritage,Architecture,Traditional"
84,"Sentosa Island, Singapore: Leisure & Attractions","Sentosa Island is Singaporeâ€™s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the countryâ€™s first integrated resort.","Entertainment,Nature,Waterfront"
85,"Chinatown Singapore: History & Culture","Singaporeâ€™s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.","History,Culture,Heritage,Traditional,Shopping"
86,"Buddha Tooth Relic Temple & Museum in Singapore","This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.","Temple,Museum,Architecture,Culture,Heritage"
87,"Labrador Nature Reserve","With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.","Park,Nature,History,Heritage"
88,"Marina Bay Singapore: Attractions & Things to do","Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.","Modern,Waterfront,Food,Entertainment,Architecture"
89,"Marina Bay Sands, Singapore","This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.","Architecture,Shopping,Entertainment,Viewpoint,Waterfront"
90,"Chek Jawa","A world away from shopping malls and glitzy hotels, this natural wonder is one of Singaporeâ€™s richest eco-systems.","Nature,Park,Waterfront"
91,"Merlion Park, Singapore: Attractions & Things to Do","Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.","Park,Waterfront,Viewpoint,Heritage,Culture"
92,"Marina Bay SandsÂ® SkyPark","No description available","Viewpoint,Architecture,Modern,Waterfront,Park"
93,"Resorts World Sentosa, Singapore","Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.","Entertainment,Shopping,Food,Modern,Waterfront"
94,"Singapore Garden & Singapore Park","This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.","Park,Nature"
95,"Sungei Buloh","This ecological wonder will transport you into a world rich in animal and plant life.","Nature,Park,Waterfront"
96,"S.E.A. Aquarium","Immerse yourself underwater at the S.E.A. Aquariumâ„¢ and discover more than 100,000 marine animals.","Museum,Entertainment,Nature,Waterfront"
97,"Singapore Botanic Gardens","Singaporeâ€™s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.","Park,Nature,History,Heritage"
98,"Singapore Zoo: Attractions & Things to Do","Singaporeâ€™s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.","Park,Nature,Entertainment"
99,"River Safari Singapore","At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the parkâ€™s waters.","Park,Nature,Entertainment,Waterfront"
100,"Cable Car Singapore & Mount Faber","Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.","Entertainment,Food,Viewpoint,Waterfront"
101,"Night Safari, Singapore","Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.","Nature,Entertainment,Park"
102,"Pulau Ubin & Singapore Islands","Gravel roads, lush forests and abundant wildlife â€“ Pulau Ubin is a living showcase of what Singapore was like in the 1960s.","Nature,History,Heritage,Park,Traditional"
103,"Little India Singapore: History & Culture","Little India is a buzzing historic area that shows off the best of Singaporeâ€™s Indian community from vibrant culture to incredible shopping.","History,Culture,Heritage,Shopping,Traditional"
104,"Orchard Road, Singapore: Asia's Most Famous Shopping Street","Orchard Road, Asiaâ€™s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.","Shopping,Modern"
105,"MacRitchie Singapore & Singapore Nature Reserve","The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.","Nature,Park,Waterfront"
106,"Gardens by the Bay","This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.","Park,Nature,Waterfront,Viewpoint,Architecture"
107,"Civic District, Singapore","The Civic District is where Singaporeâ€™s historical, architectural and cultural heritage started.","History,Culture,Heritage,Architecture"
108,"HarbourFront, Singapore","HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.","Waterfront,Shopping,Food"
109,"Bras Basah.Bugis, Singapore Cultural District","The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.","Culture,Heritage,History,Museum,Art"
110,"LABRADOR NATURE RESERVE","A park in Singapore: LABRADOR NATURE RESERVE","Park,Nature"
111,"BUKIT TIMAH NATURE RESERVE","A park in Singapore: BUKIT TIMAH NATURE RESERVE","Park,Nature"
112,"UPPER SELETAR RESERVOIR PARK","A park in Singapore: UPPER SELETAR RESERVOIR PARK","Park,Nature,Waterfront"
113,"UPPER PEIRCE RESERVOIR PARK","A park in Singapore: UPPER PEIRCE RESERVOIR PARK","Park,Nature,Waterfront"
114,"THOMSON NATURE PARK","A park in Singapore: THOMSON NATURE PARK","Park,Nature"
115,"WINDSOR NATURE PARK","A park in Singapore: WINDSOR NATURE PARK","Park,Nature"
116,"CHESTNUT NATURE PARK","A park in Singapore: CHESTNUT NATURE PARK","Park,Nature"
117,"RIFLE RANGE NATURE PARK","A park in Singapore: RIFLE RANGE NATURE PARK","Park,Nature"
118,"LOWER PEIRCE RESERVOIR PARK","A park in Singapore: LOWER PEIRCE RESERVOIR PARK","Park,Nature,Waterfront"
119,"ZHENGHUA NATURE PARK","A park in Singapore: ZHENGHUA NATURE PARK","Park,Nature"
120,"BUKIT BATOK TOWN PARK","A park in Singapore: BUKIT BATOK TOWN PARK","Park,Nature"
121,"BUKIT BATOK NATURE PARK","A park in Singapore: BUKIT BATOK NATURE PARK","Park,Nature"
122,"LABRADOR NATURE PARK","A park in Singapore: LABRADOR NATURE PARK","Park,Nature"
123,"SPRINGLEAF NATURE PARK","A park in Singapore: SPRINGLEAF NATURE PARK","Park,Nature"
124,"CENTRAL CATCHMENT NATURE RESERVE","A park in Singapore: CENTRAL CATCHMENT NATURE RESERVE","Park,Nature"
125,"PULAU SEKUDU","A park in Singapore: PULAU SEKUDU","Park,Nature"
126,"PULAU UNUM","A park in Singapore: PULAU UNUM","Park,Nature"
127,"BETING BRONOK","A park in Singapore: BETING BRONOK","Park,Nature"
128,"DAIRY FARM NATURE PARK","A park in Singapore: DAIRY FARM NATURE PARK","Park,Nature"
129,"SUNGEI BULOH WETLAND RESERVE","A park in Singapore: SUNGEI BULOH WETLAND RESERVE","Park,Nature,Waterfront"
130,"KRANJI COASTAL NATURE PARK","A park in Singapore: KRANJI COASTAL NATURE PARK","Park,Nature,Waterfront"
131,"KRANJI RESERVOIR PARK B","A park in Singapore: KRANJI RESERVOIR PARK B","Park,Nature,Waterfront,Viewpoint"
132,"KRANJI MARSHES","A park in Singapore: KRANJI MARSHES","Park,Nature"
133,"SUNGEI BULOH SOUTHERN EXTENSION","A park in Singapore: SUNGEI BULOH SOUTHERN EXTENSION","Park,Nature,Waterfront"
134,"KRANJI RESERVOIR PARK A","A park in Singapore: KRANJI RESERVOIR PARK A","Park,Nature,Waterfront"
135,"BERLAYER CREEK","A park in Singapore: BERLAYER CREEK","Park,Nature,Waterfront"
136,"PULAU UBIN AND CHEK JAWA","A park in Singapore: PULAU UBIN AND CHEK JAWA","Park,Nature,Waterfront"
137,"RAILWAY CORRIDOR RIFLE RANGE CONNECTOR","A park in Singapore: RAILWAY CORRIDOR RIFLE RANGE CONNECTOR","Park,Nature,History,Heritage"
138,"HINDHEDE NATURE PARK","A park in Singapore: HINDHEDE NATURE PARK","Park,Nature"
139,"RAIL CORRIDOR","A park in Singapore: RAIL CORRIDOR","Park,Nature,History,Heritage"
140,"BUKIT CHERMIN BOARDWALK","A park in Singapore: BUKIT CHERMIN BOARDWALK","Park,Nature,Waterfront,Viewpoint"
141,"MACRITCHIE RESERVOIR PK","A park in Singapore: MACRITCHIE RESERVOIR PK","Park,Nature,Waterfront,Viewpoint"
142,"KALLANG LINEAR PARK","A park in Singapore: KALLANG LINEAR PARK","Park,Nature,Waterfront"
143,"OLD UPPER ALJUNIED ROAD","A park in Singapore: OLD UPPER ALJUNIED ROAD","Park,History,Nature"
144,"ARMENIAN STREET (FCP)","A park in Singapore: ARMENIAN STREET (FCP)","Park,History,Heritage"
145,"CONNAUGHT DRIVE","A park in Singapore: CONNAUGHT DRIVE","Park,Waterfront,Nature"
146,"CANNING RISE (FCP)","A park in Singapore: CANNING RISE (FCP)","Park"
147,"CAMP ROAD INTERIM PARK","A park in Singapore: CAMP ROAD INTERIM PARK","Park"
148,"CHANGI WEST BOARDWALK (CHANGI BC)","A park in Singapore: CHANGI WEST BOARDWALK (CHANGI BC)","Park,Nature,Waterfront,Viewpoint"
149,"CHANGI PT FERRY TERMINAL","A park in Singapore: CHANGI PT FERRY TERMINAL","Park,Waterfront,Nature,Viewpoint"
150,"TANAH MERAH PG","A park in Singapore: TANAH MERAH PG","Park,Nature"
151,"MARIAM WALK PG","A park in Singapore: MARIAM WALK PG","Park,Nature"
152,"LOYANG VIEW PG","A park in Singapore: LOYANG VIEW PG","Park,Nature,Viewpoint"
153,"JLN LIMAU MANIS PG","A park in Singapore: JLN LIMAU MANIS PG","Park,Nature"
154,"JLN ANGIN LAUT PG","A park in Singapore: JLN ANGIN LAUT PG","Park,Nature"
155,"MERA TERRACE PG","A park in Singapore: MERA TERRACE PG","Park"
156,"EASTWOOD PK PG","A park in Singapore: EASTWOOD PK PG","Park,Nature"
157,"JLN CHEMPAKA KUNING PG","A park in Singapore: JLN CHEMPAKA KUNING PG","Park,Nature"
158,"JLN PARI BURONG PG","A park in Singapore: JLN PARI BURONG PG","Park,Nature"
159,"JLN PARI DEDAP PG","A park in Singapore: JLN PARI DEDAP PG","Park"
160,"JLN PELATOK PG","A park in Singapore: JLN PELATOK PG","Park"
161,"MERAGI RD PG","A park in Singapore: MERAGI RD PG","Park"
162,"SUNBIRD CIRCLE PG","A park in Singapore: SUNBIRD CIRCLE PG","Park,Nature"
163,"PESARI WALK PG","A park in Singapore: PESARI WALK PG","Park,Nature"
164,"BEDOK RIA CRESCENT PG","A park in Singapore: BEDOK RIA CRESCENT PG","Park,Nature"
165,"HARVEY CRESCENT PG","A park in Singapore: HARVEY CRESCENT PG","Park"
166,"MARIAM WAY PG","A park in Singapore: MARIAM WAY PG","Park"
167,"BEDOK TERRACE PG","A park in Singapore: BEDOK TERRACE PG","Park,Nature"
168,"KEW DR PG","A park in Singapore: KEW DR PG","Park,Nature"
169,"LIMAU GARDEN PG","A park in Singapore: LIMAU GARDEN PG","Park,Nature"
170,"LUCKY GARDENS PG","A park in Singapore: LUCKY GARDENS PG","Park,Nature"
171,"SENNETT AVE PG","A park in Singapore: SENNETT AVE PG","Park"
172,"JLN LIMAU KASTURI PG","A park in Singapore: JLN LIMAU KASTURI PG","Park,Nature"
173,"KEW AVE PG","A park in Singapore: KEW AVE PG","Park,Nature"
174,"KEW CRESCENT PG","A park in Singapore: KEW CRESCENT PG","Park"
175,"LIMAU VILLAS PG","A park in Singapore: LIMAU VILLAS PG","Park"
176,"CHANGI HEIGHTS PG","A park in Singapore: CHANGI HEIGHTS PG","Park,Nature"
177,"TURNHOUSE PK","A park in Singapore: TURNHOUSE PK","Park,Nature"
178,"SENNETT AVE OS","A park in Singapore: SENNETT AVE OS","Park,Nature"
179,"JLN LIMAU KASTURI OS","A park in Singapore: JLN LIMAU KASTURI OS","Park,Nature"
180,"JLN PELATOK OS","A park in Singapore: JLN PELATOK OS","Park,Nature"
181,"CHANGI EAST BOARDWALK (CHANGI FERRY TER)","A park in Singapore: CHANGI EAST BOARDWALK (CHANGI FERRY TER)","Park,Nature,Viewpoint,Waterfront"
182,"CHANGI POINT PROMENADE","A park in Singapore: CHANGI POINT PROMENADE","Park,Waterfront,Viewpoint,Nature"
183,"CHANGI POINT WATERFRONT PK","A park in Singapore: CHANGI POINT WATERFRONT PK","Park,Waterfront,Nature,Viewpoint"
184,"EAST COAST PARK AREA A","A park in Singapore: EAST COAST PARK AREA A","Park,Nature,Waterfront"
185,"EAST COAST PARK AREA B","A park in Singapore: EAST COAST PARK AREA B","Park,Nature,Waterfront"
186,"EAST COAST PARK AREA C","A park in Singapore: EAST COAST PARK AREA C","Park,Nature,Waterfront"
187,"EAST COAST PARK AREA D","A park in Singapore: EAST COAST PARK AREA D","Park,Nature,Waterfront"
188,"EAST COAST PARK AREA E","A park in Singapore: EAST COAST PARK AREA E","Park,Nature,Waterfront"
189,"EAST COAST PARK AREA F","A park in Singapore: EAST COAST PARK AREA F","Park,Nature,Waterfront"
190,"EAST COAST PARK AREA G","A park in Singapore: EAST COAST PARK AREA G","Park,Nature,Waterfront"
191,"EAST COAST PARK AREA H","A park in Singapore: EAST COAST PARK AREA H","Park,Nature,Waterfront"
192,"BEDOK TOWN PK","A park in Singapore: BEDOK TOWN PK","Park,Nature"
193,"BEDOK RESERVOIR PK","A park in Singapore: BEDOK RESERVOIR PK","Park,Nature,Waterfront,Viewpoint"
194,"YARROW PARK","A park in Singapore: YARROW PARK","Park,Nature"
195,"SIGLAP LINEAR PK (UPP EC RD-M PARADE)","A park in Singapore: SIGLAP LINEAR PK (UPP EC RD-M PARADE)","Park,Nature"
196,"TANJONG KATONG RD SOUTH PG","A park in Singapore: TANJONG KATONG RD SOUTH PG","Park,Nature"
197,"JLN BULOH PERINDU PG","A park in Singapore: JLN BULOH PERINDU PG","Park,Nature"
198,"MEYER RD PG","A park in Singapore: MEYER RD PG","Park"
199,"EAST COAST TERRACE PK","A park in Singapore: EAST COAST TERRACE PK","Park,Nature,Waterfront"
200,"TELOK KURAU PK","A park in Singapore: TELOK KURAU PK","Park,Nature"
201,"ELITE TERRACE PK","A park in Singapore: ELITE TERRACE PK","Park,Nature"
202,"SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD)","A park in Singapore: SIGLAP LINEAR PK (JLN B'WAN-UPP EC RD)","Park,Nature"
203,"GEYLANG EAST PK","A park in Singapore: GEYLANG EAST PK","Park,Nature"
204,"GREENFIELD DR PG","A park in Singapore: GREENFIELD DR PG","Park,Nature"
205,"BANGSAWAN PK","A park in Singapore: BANGSAWAN PK","Park,Nature"
206,"AIDA PK","A park in Singapore: AIDA PK","Park"
207,"JLN SENANG PG","A park in Singapore: JLN SENANG PG","Park,Nature"
208,"OPERA ESTATE FOOTBALL FIELD","A park in Singapore: OPERA ESTATE FOOTBALL FIELD","Park"
209,"CARPMAEL PARK","A park in Singapore: CARPMAEL PARK","Park,Nature"
210,"TAMAN KEMBANGAN PG","A park in Singapore: TAMAN KEMBANGAN PG","Park,Nature"
211,"WARINGIN PK PG","A park in Singapore: WARINGIN PK PG","Park"
212,"ARTHUR PK","A park in Singapore: ARTHUR PK","Park"
