id,name,description,latitude,longitude,created_at,opening_hours
34,ArtScience Museum Singapore,Catch world-class touring exhibitions at this premier exhibition space.,1.286,103.85929,2025-10-02 09:08:56.805071+00,"Daily, 10am â€“ 7pm, Last admission at 6pm"
35,SAM at 8Q & Singapore Art Museum,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",1.297,103.85168,2025-10-02 09:08:56.805071+00,"Monday to Thursday, 10am â€“ 7pm, Friday, 10am â€“ 9pm"
36,Jamae Mosque (Masjid Chulia) Singapore,"Also known as Masjid Chulia, Jamae Mosque is one of Singaporeâ€™s oldest mosques and a prominent landmark in Chinatown since the 1820s.",1.283,103.84554,2025-10-02 09:08:56.805071+00,Daily
37,Institute of Contemporary Arts Singapore,This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,1.303,103.8516,2025-10-02 09:08:56.805071+00,"Tuesday to Sunday, 12pm - 7pm, Closed on Monday and public holidays"
38,Singapore Flyer,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",1.289,103.863137,2025-10-02 09:08:56.805071+00,"Daily, 8.30am - 10.30pm, (last admission: 10.15pm)"
39,Marina Bay SandsÂ®,No description available,1.283,103.86081,2025-10-02 09:08:56.805071+00,
40,Marina Barrage,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,1.281,103.87159,2025-10-02 09:08:56.805071+00,"Marina Barrage - All day  Information Counter Daily, 9am â€“ 9pm"
41,Henderson Waves Bridge,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,1.276,103.815254,2025-10-02 09:08:56.805071+00,"Daily, 24 hours"
42,Pinnacle@Duxton,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,1.275,103.84142,2025-10-02 09:08:56.805071+00,"50th storey Skybridge, Daily, 9am â€“10pm"
43,Hajjah Fatimah Mosque,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,1.303,103.86285,2025-10-02 09:08:56.805071+00,"Daily, 9am â€“9pm"
44,Haw Par Villa: Singapore Theme Park,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,1.286,103.78314,2025-10-02 09:08:56.805071+00,"Daily, 9am â€“ 7pm"
45,NUS Baba House - Singapore Peranakan Architecture,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",1.277,103.83731,2025-10-02 09:08:56.805071+00,"Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm â€“ 3pm,Tuesday, 6.30pm â€“ 7.30pm,Thursday, 10am â€“ 11am,Saturday, 11am â€“ 12pm"
46,Hong San See Temple Singapore,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",1.293,103.841222,2025-10-02 09:08:56.805071+00,Daily
47,"Chinese Heritage Centre, Singapore",The Chinese Heritage Centre in Singapore is where you can find out more about overseas Chinese communities and their culture.,1.344,103.68398,2025-10-02 09:08:56.805071+00,"Monday to Friday, 9.30am â€“ 5pm,Saturday and Sunday, 10am â€“5pm, Closed on public holidays"
48,Kampong Glam & Malay Culture in Singapore,"Discover Kampong Glam's rich history, living traditions, excellent eateries and trendy shops in this vibrant neighbourhood.",1.302,103.8595,2025-10-02 09:08:56.805071+00,
49,Contemporary Arts Center,"This university arts research centre explores contemporary art through exhibitions, public programmes, residencies and research programmes.",1.275,103.8045,2025-10-02 09:08:56.805071+00,"Tuesday to Sunday, 12pm â€“ 7pm Friday, 12pm â€“ 9pm , Closed on Monday. Open on public holiday."
50,"The Substation, Singapore Contemporary Art Centre",This experimental arts centre gives a space for contemporary artists to try out new concepts.,1.294,103.84934,2025-10-02 09:08:56.805071+00,"The Substation Box Office ,Monday to Friday, 12pm - 2pm and 5pm - 8pm.Saturday and Sunday, open an hour prior to weekend showtimes. Closed on public holidays.The Substation Gallery Daily, 12pm â€“ 9pm Closed on public holidays"
51,"Red Dot Design Museum, Singapore","This museum holds more than 1,000 award-winning products, communications and concepts that will delight design fans.",1.278,103.84572,2025-10-02 09:08:56.805071+00,"Monday - Friday, 11am â€“ 6 pm, Saturday and Sunday, 11am â€“ 8 pm"
52,Singapore Art Museum,"Singapore Art Museum is Singaporeâ€™s contemporary art museum, focused on Southeast Asian contemporary art.",1.297,103.851068,2025-10-02 09:08:56.805071+00,"Monday to Thursday, 10am â€“ 7pm, Friday, 10am â€“ 9pm"
53,Esplanade Theatres on the Bay,Catch a non-stop line-up of world-class performances at Singaporeâ€™s premier arts centre.,1.29,103.85528,2025-10-02 09:08:56.805071+00,"Box Office Opening Hours Daily, 12pm â€“ 8.30pm, The Esplanade Box Office will open 1 hour prior to show commencement for shows before 12 noon and will remain open up to half an hour after show commencement for shows starting after 8.30pm."
54,"National Design Centre, Singapore","The National Design Centre is the nexus for all things design. It hosts design exhibitions, events and programmes that will quicken the pulse of design lovers.",1.299,103.85351,2025-10-02 09:08:56.805071+00,"Daily, 9.00am â€“ 9.00pm"
55,Victoria Theatre Singapore,"After a four-year refurbishment, the Victoria Theatre and Concert Hall has since reopened, with its first official concert held there in August 2014.",1.288,103.851641,2025-10-02 09:08:56.805071+00,"Daily, 10am â€“ 9pm"
56,"NUS University Museum, Singapore",Get a deeper insight into Asian art and artefacts at this museum on the campus of the National University of Singapore.,1.302,103.772686,2025-10-02 09:08:56.805071+00,"Tuesday to Friday, 10am â€“ 7.30pm,Saturday and Sunday, 10am â€“ 6pm"
57,Sun Yat Sen Memorial Hall,This revamped museum is a fitting tribute to the intriguing life and times of Chinese revolutionary leader Dr Sun Yat Sen.,1.328,103.84692,2025-10-02 09:08:56.805071+00,"Tuesday to Sunday, 10am â€“ 5pm, Closed on Monday"
58,Asian Civilisations Museum & Singapore Museum,"Housed in a historical building by the Singapore River, this museum tells the stories of Asian civilisations through its permanent collections.",1.287,103.851723,2025-10-02 09:08:56.805071+00,"Saturday to Thursday, 10am â€“ 7pm, Friday, 10am â€“ 9pm"
59,National Museum of Singapore,Singaporeâ€™s oldest museum is a progressive showcase of the countryâ€™s history and culture.,1.297,103.84883,2025-10-02 09:08:56.805071+00,"Singapore History Gallery Daily, 10am â€“ 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am â€“ 8pm Free admission from 6pm â€“8pm , Last admission at 7.30pm"
60,The Japanese Cemetery Park,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singaporeâ€™s early Japanese community.",1.364,103.87584,2025-10-02 09:08:56.805071+00,Daily
61,"Dalhousie Obelisk, a Singapore Landmark",Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,1.287,103.85238,2025-10-02 09:08:56.805071+00,Daily
62,Raffles Statue â€“ Sir Stamford Raffles Landing Site,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.",1.288,103.850845,2025-10-02 09:08:56.805071+00,Daily
63,Singapore Philatelic Museum,The Singapore Philatelic Museum offers windows into Singapore and the world through stamps.,1.293,103.8487,2025-10-02 09:08:56.805071+00,"Monday, 1pm â€“ 7pm,Tuesday to Sunday, 9.30am â€“ 7pm"
64,Old Ford Factory Singapore Museum,The Old Ford Factory holds an archive of memories about Singapore's wartime occupation by the Japanese.,1.352,103.76883,2025-10-02 09:08:56.805071+00,"Monday to Saturday, 9am â€“ 5.30pm,Sunday, 12pm â€“ 5.30pm"
65,Singapore Coins and Notes Museum & Museum Singapore,The rare collection of currencies on display here tells Singaporeâ€™s story through the money it has used over the years.,1.283,103.84452,2025-10-02 09:08:56.805071+00,"Daily, 10am â€“ 8pm"
66,Singapore City Gallery,The Singapore City Gallery tells the story of the cityâ€™s physical transformation.,1.28,103.84513,2025-10-02 09:08:56.805071+00,"Monday to Saturday, 9am â€“ 5pm"
67,Changi Museum Singapore,Changi Museum provides an emotional exploration of Singaporeâ€™s wartime history during the Japanese Occupation.,1.362,103.97403,2025-10-02 09:08:56.805071+00,"Daily, 9:30am â€“ 5pm,(Last admission: 4.30pm)"
68,MINT Museum of Toys Singapore & Toy Museum,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,1.296,103.85439,2025-10-02 09:08:56.805071+00,"Daily, 9.30am â€“ 6.30pm"
69,Lim Bo Seng Memorial,This gazetted national monument at Esplanade Park commemorates one of Singaporeâ€™s heroes from World War II.,1.288,103.853027,2025-10-02 09:08:56.805071+00,Daily
70,Universal Studios Singaporeâ„¢ Theme Park,Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosaâ„¢.,1.254,103.823808,2025-10-02 09:08:56.805071+00,Open daily at 10am.Closing time varies. Please visit the official website for more information.
71,Singapore Science Centre,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.,1.333,103.735872,2025-10-02 09:08:56.805071+00,"Science Centre Singapore Daily, 10am â€“ 6pm(last admission: 5.15pm) .Omni Theatre Daily, 12pm â€“ 6pm (last show: 6pm) . Snow City Daily, 10am â€“ 6pm (last admission: 5pm) School and public holidays, 10am â€“ 7pm (last admission: 6pm)"
72,Fuk Tak Chi Museum & Places of Interest,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,1.283,103.84887,2025-10-02 09:08:56.805071+00,"Daily, 10am â€“ 10pm"
73,Katong Antique House Singapore: Peranakan Heritage,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.",1.307,103.90714,2025-10-02 09:08:56.805071+00,"Daily, 11am â€“ 4.30pm"
74,Chinese Garden Singapore,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,1.339,103.73,2025-10-02 09:08:56.805071+00,"Daily, 6am â€“ 11pm"
75,East Coast Park Singapore,"With so many attractions packed into this 15-km stretch of beaches, youâ€™ll never run out of things to do.",1.301,103.912187,2025-10-02 09:08:56.805071+00,
76,Fort Canning Park,"Whether youâ€™re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.",1.295,103.846509,2025-10-02 09:08:56.805071+00,
77,"Kusu Island, Singapore","If youâ€™re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.",1.223,103.860523,2025-10-02 09:08:56.805071+00,
78,"Jurong Bird Park, Singapore: Attractions & Things to Do","Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.",1.319,103.706442,2025-10-02 09:08:56.805071+00,"Daily, 8.30am - 6pm"
79,HortPark,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.,1.279,103.799724,2025-10-02 09:08:56.805071+00,"Daily, 6am â€“10pm"
80,Adventure Cove Waterparkâ„¢ Singapore,Make a big splash at this aquatic adventure park at Resorts Worldâ„¢ Sentosa.,1.257,103.819525,2025-10-02 09:08:56.805071+00,"Daily, 10am â€“ 6pm"
81,Lasalle College of the Arts,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,1.303,103.8516,2025-10-02 09:08:56.805071+00,"Administration Office Monday to Friday, 9am â€“ 6pm.Visitors can still walk around the campus after office opening hours."
82,Singapore River: History & Culture Tours,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",1.288,103.84676,2025-10-02 09:08:56.805071+00,
83,Joo Chiat/Katong: Singapore Peranakan Neighbourhood,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.",1.306,103.90448,2025-10-02 09:08:56.805071+00,
84,"Sentosa Island, Singapore: Leisure & Attractions","Sentosa Island is Singaporeâ€™s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the countryâ€™s first integrated resort.",1.249,103.82809,2025-10-02 09:08:56.805071+00,
85,Chinatown Singapore: History & Culture,"Singaporeâ€™s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.",1.282,103.843771,2025-10-02 09:08:56.805071+00,
86,Buddha Tooth Relic Temple & Museum in Singapore,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.,1.282,103.84438,2025-10-02 09:08:56.805071+00,"Daily, 7am â€“ 7pm"
87,Labrador Nature Reserve,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",1.266,103.801944,2025-10-02 09:08:56.805071+00,
88,Marina Bay Singapore: Attractions & Things to do,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.",1.28,103.856454,2025-10-02 09:08:56.805071+00,
89,"Marina Bay Sands, Singapore","This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.",1.284,103.85899,2025-10-02 09:08:56.805071+00,Opening hours varies. Please visit the official website for more information.
90,Chek Jawa,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singaporeâ€™s richest eco-systems.",1.408,103.96371,2025-10-02 09:08:56.805071+00,
91,"Merlion Park, Singapore: Attractions & Things to Do","Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.",1.287,103.854552,2025-10-02 09:08:56.805071+00,
92,Marina Bay SandsÂ® SkyPark,No description available,1.283,103.86081,2025-10-02 09:08:56.805071+00,"Monday to Thursday, 9.30am - 10pm.Friday to Sunday, 9.30am - 11pm"
93,"Resorts World Sentosa, Singapore",Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,1.257,103.82033,2025-10-02 09:08:56.805071+00,Opening hours differ for the various attractions.
94,Singapore Garden & Singapore Park,This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,1.281,103.817589,2025-10-02 09:08:56.805071+00,
95,Sungei Buloh,This ecological wonder will transport you into a world rich in animal and plant life.,1.447,103.730149,2025-10-02 09:08:56.805071+00,
96,S.E.A. Aquarium,"Immerse yourself underwater at the S.E.A. Aquariumâ„¢ and discover more than 100,000 marine animals.",1.257,103.819493,2025-10-02 09:08:56.805071+00,Open daily at 10am.Closing time varies. Please visit the official website for more information.
97,Singapore Botanic Gardens,"Singaporeâ€™s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",1.314,103.815914,2025-10-02 09:08:56.805071+00,"Singapore Botanic Gardens Daily, 5am - 12am National Orchid Garden Daily, 8.30am - 7pm(last ticket sales at 6pm)Jacob Ballas Children's Garden Tuesday to Sunday, 8am - 7pm(last admission: 6.30pm)Closed every Monday (except when it falls on a designated public holiday)SBG Heritage MuseumDaily*, 9am - 6pm*Closed every last Monday of the month (except when it falls on a designated public holiday, it will be closed the following day)"
98,Singapore Zoo: Attractions & Things to Do,"Singaporeâ€™s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",1.404,103.793023,2025-10-02 09:08:56.805071+00,"Daily, 8.30am â€“ 6pm(last ticket sale at 5.30pm)"
99,River Safari Singapore,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the parkâ€™s waters.",1.404,103.789423,2025-10-02 09:08:56.805071+00,"Daily, 10am - 7pm"
100,Cable Car Singapore & Mount Faber,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,1.271,103.819206,2025-10-02 09:08:56.805071+00,
101,"Night Safari, Singapore","Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.",1.402,103.788061,2025-10-02 09:08:56.805071+00,"Daily, 7.30pm - 12am .Last ticket sale at 11.15pm.F and B and retail outlets open from 5.30pm"
102,Pulau Ubin & Singapore Islands,"Gravel roads, lush forests and abundant wildlife â€“ Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",1.414,103.959261,2025-10-02 09:08:56.805071+00,
103,Little India Singapore: History & Culture,Little India is a buzzing historic area that shows off the best of Singaporeâ€™s Indian community from vibrant culture to incredible shopping.,1.307,103.84982,2025-10-02 09:08:56.805071+00,
104,"Orchard Road, Singapore: Asia's Most Famous Shopping Street","Orchard Road, Asiaâ€™s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.",1.304,103.83249,2025-10-02 09:08:56.805071+00,
105,MacRitchie Singapore & Singapore Nature Reserve,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,1.345,103.822346,2025-10-02 09:08:56.805071+00,
106,Gardens by the Bay,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.",1.282,103.863613,2025-10-02 09:08:56.805071+00,"Bay South Outdoor Gardens Daily, 5am - 2am Cooled Conservatories and OCBC Skyway Daily, 9am - 9pm(last ticket sale at 8pm).Far East Organization Children's Garden Tuesday* to Friday, 10am - 7pm(last admission: 6.30pm)*Closed on Tuesday if a public holiday falls on the preceding Monday Weekends and public holidays, 9am - 9pm(last admission: 8.30pm)"
107,"Civic District, Singapore","The Civic District is where Singaporeâ€™s historical, architectural and cultural heritage started.",1.293,103.85222,2025-10-02 09:08:56.805071+00,
108,"HarbourFront, Singapore","HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.",1.265,103.82057,2025-10-02 09:08:56.805071+00,
109,"Bras Basah.Bugis, Singapore Cultural District","The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.",1.301,103.85624,2025-10-02 09:08:56.805071+00,
110,LABRADOR NATURE RESERVE,A park in Singapore: LABRADOR NATURE RESERVE,1.267356204279249,103.8020372193653,2025-10-02 09:08:56.805071+00,
111,BUKIT TIMAH NATURE RESERVE,A park in Singapore: BUKIT TIMAH NATURE RESERVE,1.3540594774834185,103.77909858021013,2025-10-02 09:08:56.805071+00,
112,UPPER SELETAR RESERVOIR PARK,A park in Singapore: UPPER SELETAR RESERVOIR PARK,1.4012617805861975,103.80744001762055,2025-10-02 09:08:56.805071+00,
113,UPPER PEIRCE RESERVOIR PARK,A park in Singapore: UPPER PEIRCE RESERVOIR PARK,1.372790931891346,103.8118660984769,2025-10-02 09:08:56.805071+00,
114,THOMSON NATURE PARK,A park in Singapore: THOMSON NATURE PARK,1.3826408205973073,103.82203885112,2025-10-02 09:08:56.805071+00,
115,WINDSOR NATURE PARK,A park in Singapore: WINDSOR NATURE PARK,1.3568152417612294,103.82125945835783,2025-10-02 09:08:56.805071+00,
116,CHESTNUT NATURE PARK,A park in Singapore: CHESTNUT NATURE PARK,1.3768728987521912,103.7794380914777,2025-10-02 09:08:56.805071+00,
117,RIFLE RANGE NATURE PARK,A park in Singapore: RIFLE RANGE NATURE PARK,1.3471603920567965,103.78405998387908,2025-10-02 09:08:56.805071+00,
118,LOWER PEIRCE RESERVOIR PARK,A park in Singapore: LOWER PEIRCE RESERVOIR PARK,1.3692147195643873,103.82649974881977,2025-10-02 09:08:56.805071+00,
119,ZHENGHUA NATURE PARK,A park in Singapore: ZHENGHUA NATURE PARK,1.3678343883470532,103.77835108165955,2025-10-02 09:08:56.805071+00,
120,BUKIT BATOK TOWN PARK,A park in Singapore: BUKIT BATOK TOWN PARK,1.357354333611622,103.75607205285507,2025-10-02 09:08:56.805071+00,
121,BUKIT BATOK NATURE PARK,A park in Singapore: BUKIT BATOK NATURE PARK,1.3500086942926157,103.76462219368499,2025-10-02 09:08:56.805071+00,
122,LABRADOR NATURE PARK,A park in Singapore: LABRADOR NATURE PARK,1.2643669344593973,103.80339748868586,2025-10-02 09:08:56.805071+00,
123,SPRINGLEAF NATURE PARK,A park in Singapore: SPRINGLEAF NATURE PARK,1.4018864563587008,103.8202989368223,2025-10-02 09:08:56.805071+00,
124,CENTRAL CATCHMENT NATURE RESERVE,A park in Singapore: CENTRAL CATCHMENT NATURE RESERVE,1.380770971767438,103.8056173588953,2025-10-02 09:08:56.805071+00,
125,PULAU SEKUDU,A park in Singapore: PULAU SEKUDU,1.403917815667064,103.98804174981142,2025-10-02 09:08:56.805071+00,
126,PULAU UNUM,A park in Singapore: PULAU UNUM,1.4330328632249225,104.05378181778914,2025-10-02 09:08:56.805071+00,
127,BETING BRONOK,A park in Singapore: BETING BRONOK,1.4370477517511775,104.04685703680678,2025-10-02 09:08:56.805071+00,
